nds,de,title
De Zitronen sünd suur.,Die Zitronen sind sauer.,
Di will ik ook noch kregen.,Dich werde ich auch noch bekommen.,
Ik wis di en poor Biller.,Ich zeige dir mal ein paar Bilder.,
Wannehr is disse Boom plant worrn?,Wann wurde dieser Baum gepflanzt?,
Wokeen kan för Malheur?,Kann jemand etwas für das Pech?,
Ik deed di so gern sehen.,Ich würde dich so gerne sehen.,
Roop mi nich so laat an ’n Avend an.,Ruft mich nicht so spät am Abend an.,
Düsse School hätt 1650 apen maakt.,Diese Schule wurde 1650 eröffnet.,
He is en Sturrkopp.,Er ist ein Dickschädel.,
"Wenn de Keks nech so dulle verbrennen wäsen woren, harr villicht en poor Lüdd jem äten.","Wenn die Kekse nicht gar so verbrannt gewesen wären, hätten sie vielleicht ein paar Leute gegessen.",
He hett mien Kusine freet.,Er hat meine Cousine geheiratet.,
Laat de Kinner nich op de Straat spelen.,Lasse die Kinder nicht auf der Straße spielen.,
Woans kann ik em loostowarrn?,Wie kann ich ihn loswerden?,
"Düsse Tofel is nicht swarte, man gröön.","Diese Tafel ist nicht schwarz, sondern grün.",
He deed sien Speelkraam ünner dat Bedd versteken.,Er versteckte seine Spielsachen unter dem Bett.,
"Ik kann di en beten Geld lehnen, wenn du dat bruukst.","Ich kann dir etwas Geld leihen, wenn du es brauchst.",
Se hebbt ehr den Kopp raseert.,Man rasierte ihr den Kopf.,
Datt wull ik ich weten.,Das will ich nicht wissen.,
He füng datt Süngen an.,Er fing an zu singen.,
Se hett en Bloom in ’e Hand.,Sie hat eine Blume in der Hand.,
Dat is allen witt.,Es ist alles weiß.,
De Bläder von ’n Eukalyptus sünd dünn un lange.,Die Blätter des Eukalyptus sind dünn und lang.,
De Präsident von de USA is jüst in Japan.,Der Präsident der USA ist gerade in Japan.,
Peerschen smeckt sööt.,Pfirsiche schmecken süß.,
Wo hest du op henwiest?,Worauf hast du hingewiesen?,
De Summ von de Winkels von en Dreeeck is 180 Graad.,Die Summe der Winkel eines Dreiecks ist 180 Grad.,
Kan ik den Koken äten?,Kann ich den Kuchen essen?,
Ik will di dat Book geven.,Ich werde dir ein Buch geben.,
"He hett mi to dat maakt, wat ik bün.","Er hat mich zu dem gemacht, was ich bin.",
Ik heff em 5 Dollar betahlt.,Ich bezahlte ihm 5 Dollar.,
Ik heff em 5 Dollar betohlt.,Ich zahlte ihm fünf Dollar.,
Ik gah nu in ’n Park.,Ich gehe jetzt in den Park.,
De eerste Fleger flöög 1903 twölv Sekunnen.,Das erste Flugzeug flog 1903 zwölf Sekunden lang.,
"Taro, datt Äten is trech.","Tarō, das Essen ist fertig.",
"Dat is fein Weder, nich?","Es ist schönes Wetter, nicht wahr?",
Wi hebbt twe Joht lange Chineesche lihrt.,Wir haben zwei Jahre lang Chinesisch gelernt.,
Wasch diene Fööt.,Wasche deine Füße.,
Wasch dien Fööt.,Wasch deine Füße.,
In ’n Winter barst uns Lippen.,Im Winter springen uns die Lippen auf.,
Ik kann di nich mehr vertellen. Ik heff al toveel seggt.,Ich kann dir nicht mehr erzählen. Ich habe schon zu viel gesagt.,
Ik speel lever Tennis as Baseball.,Ich spiele lieber Tennis als Baseball.,
Ik leev in de Vereenigten Staten.,Ich lebe in den Vereinigten Staaten.,
"Wat schehn is, is schehn.","Was geschehen ist, ist geschehen.",
Mi steiht datt Woter bet an ’n Hals.,Mir steht das Wasser bis zum Hals.,
Woneem wahnt dien Opa?,Wo wohnt dein Opa?,
Spaansche is ehr Moddersprook.,Spanisch ist ihre Muttersprache.,
"Ik weet noch nech, wat ik na Japan flegen schall odder nicht.","Ich bin unentschlossen, ob ich nach Japan fliegen soll oder nicht.",
"Ik dä mi wunnern, wenn Tom un Rias heiroden dæn.","Es würde mich überraschen, wenn Tom und Maria heirateten.",
Se schullt sik dor an wennen.,Sie werden sich daran gewöhnen.,
Dat warrn jeden Dag jümmer köller.,Es wird Tag für Tag immer kälter.,
Du gest datt överdreven.,Da hast du übertrieben.,
Du hest dat överdreven.,Das hast du übertrieben.,
Du hest dat överdreven.,Da hast du des Guten zu viel getan.,
Ik heff ehr op ’n eersten Blick kennt.,Ich erkannte sie auf den ersten Blick.,
"Dat is goor nich roor, länger as negentig Johr to leven.","Es ist überhaupt nicht selten, länger als neunzig Jahre zu leben.",
Noch is de Sommer nich toenn!,Noch ist der Sommer nicht zu Ende!,
Woveel Lüüd sünd op dat Schipp?,Wie viele Menschen sind an Bord des Schiffs?,
"He ween jümmerto, wenn he duune is.","Er weint immer, wenn er betrunken ist.",
Wannehr fröhstücken ji?,Wann frühstückt ihr?,
Datt deed von Dag to Dag köler warrt.,Es wurde von Tag zu Tag kälter.,
Wo lange afkennst du Jack al?,Wie lange kennst du schon Jack?,
Sien lütten Süster is fickbor.,Seine kleine Schwester ist fickbar.,
’Keene siene Dochter is Julia?,Wessen Tochter ist Julia?,
"Ik kaam, wenn datt nödig is.","Ich werde kommen, falls nötig.",
De Snieder deed de Stoffstücken mit Nadeln tohoopsteken.,Der Schneider steckte die Stoffstücke mit Nadeln zusammen.,
De Winter is vörbi und dat Vörjohr is dor.,"Der Winter ist vorbei, und der Frühling ist gekommen.",
Wi brukt en Verdrag.,Wir brauchen einen Vertrag.,
De Premierminister füll in de Donau un versööp.,Der Premierminister fiel in die Donau und ertrank.,
Wi möögt uns Navers nich un se möögt uns ook nich.,Wir mögen unsere Nachbarn nicht und sie mögen uns auch nicht.,
Se hett mi lang töven laten.,Sie hat mich lange warten lassen.,
He hett sik sien Tung mit ’n hitten Tee verbrennen.,Er hat sich an dem heißen Tee die Zunge verbrüht.,
Ehr Fööt sünd smuddelig.,Ihre Füße sind schmutzig.,
Se slöpen in ’ne Schüün.,Sie schliefen in einer Scheune.,
Waorüm heet opmaal alle Lüdd Tom?,Wieso heißen plötzlich alle Tom?,
Ik drink elk Dag en Schaal Melk.,Ich trinke täglich eine Schale Milch.,
De Amazonas is en Stroom.,Der Amazonas ist ein Strom.,
De Amazonas is en Stroom.,Der Amazonas ist ein Fluss.,
"Wi wüllt in Tokyo wesen, ehr dat düüster warrn.","Wir wollen in Tokio sein, bevor es dunkel wird.",
Ji sünd all to gau.,Ihr seid alle zu schnell.,
De Disch is gröön.,Der Tisch ist grün.,
Wat för Länner hest du besöcht?,Welche Länder hast du besucht?,
De Ünnereerdschen sünd goden Smeedlüüd.,Die Zwerge sind gute Schmiede.,
De Maand Feberwoor het man 28 Daag.,Der Monat Februar hat nur 28 Tage.,
De Grött von datt Universum is unvörstellbor.,Die Größe des Universums ist unvorstellbar.,
In de USA warr ik faken för en Chinesen hollen.,In den USA werde ich oft für einen Chinesen gehalten.,
Kan ik datt Fenster apenmaken?,Kann ich das Fenster öffnen?,
He seet blangen mi.,Er saß neben mir.,
Lehr!,Lerne!,
Köönt wi en Gavel hebben?,Könnten wir eine Gabel haben?,
Tom is de Fründ vun mien Söhn.,Tom ist der Freund meines Sohnes.,
He will mi nich de Hand schüdden.,Er wollte mir nicht die Hand schütteln.,
Weent de Heven?,Weint der Himmel?,
"Dat Passwoord is ""Muiriel"".","Das Passwort ist ""Muiriel"".",
He hätt sick den Snappen in ’n Mau smeert.,Er hat sich den Rotz an den Ärmel geschmiert.,
"Ik heff dach, du wöörst to Huus un lehrst.","Ich dachte, du wärest zu Hause am Lernen.",
Ik deed geern üm de Welt seilen.,Ich würde gerne um die Welt segeln.,
Datt woter is miegewarm.,Das Wasser ist lauwarm.,
De Seed levert Water för dat Dörp.,Der See liefert Wasser für das Dorf.,
Wat is datt dor?,Was ist das da?,
"Toeerst harrn ik Malesch, de Lüüd to verstahn, de to gau snackt hebbt.","Anfangs hatte ich Schwierigkeiten, Leute zu verstehen, die zu schnell sprachen.",
Hess du dissen Satz sülvst schräven?,Hast du diesen Satz selbst geschrieben?,
"Ik bün mi dösig vörkomen, as ik verseukt heff, Tom bi sien Huusopgaven to helpen.","Ich kam mir dumm vor, als ich versuchte, Tom bei seinen Hausaufgaben zu helfen.",
Veele Lüdd sünd na Amerika utwannert.,Zahlreiche Menschen wanderten nach Amerika aus.,
De Klocken von de Kerk lüüdt.,Die Kirchenglocken läuten.,
Hest du em in ’e Universität drapen?,Hast du ihn in der Universität getroffen?,
Schiet!,Scheiße!,
Schiet!,Mist!,
Ik eet jüst en Appel.,Ich esse gerade einen Apfel.,
Süst du de Klock nich?,Siehst du die Uhr nicht?,
Tom bedüüdt mi nix.,Tom bedeutet mir nichts.,
He is ut Mangel an Suurstoff doodbleven.,Er starb aus Mangel an Sauerstoff.,
De Laden is dat ganze Johr lang apen.,Der Laden ist das ganze Jahr lang geöffnet.,
Hebbt ji dissen Satz sülvst schräven?,Haben Sie diesen Satz selbst geschrieben?,
Ik heff keen Geld in ’e Tasch.,Ich habe kein Geld in der Tasche.,
Disse Schoh sünd to lütt.,Diese Schuhe sind zu klein.,
De Storm het en Boom ümsmeten.,Der Sturm hat einen Baum umgehauen.,
Tom wöör meud.,Tom war müde.,
Datt Kind hätt ’n Besöker en Bloom anbaden.,Das Kind bot dem Besucher eine Blume an.,
De Tall sichtbor Steerns is temlich groot.,Die Anzahl der sichtbaren Sterne ist sehr groß.,
Datt geit ierst halvig negen los.,Es fängt erst um 20:30 Uhr an.,
Uns School hett dree Amerikaners as Uttuuschschölers opnahmen.,Unsere Schule hat drei Amerikaner als Austauschschüler aufgenommen.,
Se güngen Arm in Arm de Straat langs.,Sie gingen Arm in Arm die Straße entlang.,
"Hier is dat Book, na dat du söchst.","Hier ist das Buch, nach dem du suchst.",
Wi hebbt jümmerto noog to doot.,Wir haben immer genug zu tun.,
Von ’keen sünd disse Biller?,Von wem sind diese Bilder?,
He harrn en witte Katt.,Er hatte eine weiße Katze.,
Ik wull na Huus.,Ich will nach Hause.,
"Wat geiht di dat an, wat annern Lüüd in jemehr Freetied maakt?","Was geht es dich an, was andere in ihrer Freizeit tun?",
In ’n Feberwoor slacht wi dat fette Swien.,Im Februar schlachten wir das fette Schwein.,
"De Hoot passt di nich good, de is to lütt.","Der Hut passt dir nicht gut, er ist zu klein.",
Wat hebbt ji mit mien Büx maakt?,Was habt ihr mit meiner Hose gemacht?,
He liggt op de Bänk.,Er liegt auf der Bank.,
Wi sünd an ’e Reeg mit Lachen.,Wir sind dran mit Lachen.,
"Se unn em ich övertügen, en Reed to hollen.","Sie konnte ihn nicht überzeugen, eine Rede zu halten.",
Ik heff ehr Cathy nöömt.,Ich nannte sie Cathy.,
An brune Koken un Klaven höört Kommuum.,In braune Kuchen und Stollen gehört Kardamom.,
"He is gohn un ik weet nech waorüm un ook nicht, wat he noch wedderkummt.","Er ist gegangen und ich weiß weder, warum, noch, ob er zurückkommen wird.",
Dorup kan ick ich mit di tostimmen.,Hier kann ich dir nicht zustimmen.,
Ik will ehr geern kennenlehren.,Ich würde sie gerne kennenlernen.,
"De Schoolmeester deed uns wohrschauen, dat de Test swoor warrn schull.","Der Lehrer warnte uns, dass der Test schwer werden würde.",
Vörig Johr harrn he lang Hoor.,Voriges Jahr hatte er lange Haare.,
Du sühst krank ut.,Du siehst krank aus.,
"He wull, datt du huer blievst.","Er will, dass du hier bleibst.",
Ik bün na London afreist.,Ich bin nach London abgereist.,
Ik gah kuum in Bökereen.,Ich gehe selten in Büchereien.,
En Android is en Soort Roboter.,Ein Android ist eine Art Roboter.,
En Android is en Soort Roboter.,Ein Kunstmensch ist eine Art Roboter.,
Ik bün keene gode Satz-Utdenker.,Ich bin kein guter Satz-Ausdenker.,
Tom het Steen na diene Hund smäten.,Tom hat Steine nach deinem Hund geworfen.,
Ik heff twe Böker.,Ich habe zwei Bücher.,
’keene siene Fründ böst du?,Wessen Freund bist du?,
’keen sien Fründ büst du?,Wes Freund bist du?,
Datt wees so siene Snack.,Das war so seine Redensart.,
In ’n Köhlschapp is Kraanbeernsaft.,Im Kühlschrank ist Moosbeerensaft.,
Ööl un Water mengt sik nich.,Öl und Wasser mischen sich nicht.,
He gefüll ehr von Anfang an.,Er gefiel ihr von Anfang an.,
Mudder is jüst inköpen gahn.,Mutter ist gerade Einkaufen gegangen.,
De Reinmakerfroo deed datt Gespreek ünnerbreken.,Die Putzfrau unterbrach das Gespräch.,
Ik will mien Saken afhalen.,Ich möchte meine Sachen abholen.,
In ’t Café kriggt een Kaffe.,Im Café bekommt man Kaffee.,
Se hebbt al freet.,Sie haben schon geheiratet.,
Ehr Söön is vergangen Joht dootbleven.,Ihr Sohn starb vergangenes Jahr.,
Se is en Fründin von mi.,Sie ist eine Freundin von mir.,
Wi sünd buten Gefohr.,Wir sind außer Gefahr.,
Se mag korten Röck.,Sie mag kurze Röcke.,
Du büst en boren Dichter.,Du bist ein geborener Dichter.,
Wat seggst du?,Was sagst du?,
He deed mi op ’n Vörkopp küssens.,Er küsste mich auf die Stirn.,
He hett ehr mit slaten Ogen küsst.,Er küsste sie mit geschlossenen Augen.,
Ik weet dat.,Ich weiß das.,
"Wi verkööpt Tellers ut Metall, ut Poppeer un ut Holt.","Wir verkaufen Teller aus Metall, aus Papier und aus Holz.",
Datt Licht geit nech.,Das Licht funktioniert nicht.,
Ik bruuk nu nix.,Ich brauche jetzt nichts.,
Rieke un armen Lüüd hebbt en annere Sicht op Saken.,Reiche und arme Menschen haben eine andere Sichtweise.,
Ehr Idee is beters as diene.,Ihre Idee ist besser als deine.,
Kan ik wat doot?,Kann ich irgendetwas tun?,
Dor steckt mehr achter.,Da steckt mehr dahinter.,
Tom schenk Ria Blomen.,Tom schenkte Maria Blumen.,
Datt schußt du beters nicht doot!,Das solltest du besser nicht tun!,
Ik drink nienich Tee mit Zitroon.,Ich trinke niemals Tee mit Zitrone.,
Twe plus twe is veer.,Zwei plus zwei ist vier.,
Ik heff en Droom.,Ich habe einen Traum.,
Astronomie hannelt von Steerns un Planeten.,Astronomie handelt von Sternen und Planeten.,
"Vergitt ich, mi to schrievt!","Vergiss nicht, mir zu schreiben!",
Düsse Hoot kost üm un bi 50 Dollar.,Dieser Hut kostet um die 50 Dollar.,
Wi sünd Tom siene Söhns.,Wir sind Toms Söhne.,
Alle in ’t Dörpe kennen em.,Alle im Dorf kannten ihn.,
De Sood is dröögfullen.,Der Brunnen ist trockengefallen.,
De Autodöör geiht nich önnig to.,Die Autotüre geht nicht richtig zu.,
He harrn en goods Alibi.,Er hatte ein starkes Alibi.,
"Frünnen winnt een nech mit wohre, man mit bikamern Wöör.","Freunde gewinnt man nicht mit wahren, sondern mit schmeichelnden Worten.",
Se deed gau snacken.,Sie sprach schnell.,
Is datt ut Frankriek?,Ist das aus Frankreich?,
Mien Papa is jüst nich tohuus.,Mein Papa ist gerade nicht zu Hause.,
"Wi hebbt en Dochter, de mit en Franzoos verheiraadt is.","Wir haben eine Tochter, die mit einem Franzosen verheiratet ist.",
Den eersten Pries hätt Janet wunnen.,Den ersten Preis gewann Janet.,
Siene Stimm hört sick na puren Sex an.,Seine Stimme klingt wie reiner Sex.,
Büst du vör oder gegen uns Plaan?,Bist du für oder gegen unseren Plan?,
Ik heff jüst dit Book leest.,Ich habe gerade dieses Buch gelesen.,
In ’n Ünnerscheed to Eerdbeern smeckt Ananas ook ut de Doos.,Im Unterschied zu Erdbeeren schmeckt Ananas auch aus der Dose.,
Ik verstah dor nich veel von.,Ich verstehe nicht viel davon.,
Bill is mien besten Fründ.,Bill ist mein bester Freund.,
De Eer dreiht sik in 365 Daag üm de Sünn.,Die Erde umrundet die Sonne in 365 Tagen.,
Poppeer warrn von Holt maakt.,Papier wird aus Holz hergestellt.,
Ik bün wichtig.,Ich bin wichtig.,
De Sommerfeern sünd vörbi.,Die Sommerferien sind vorbei.,
Ik nöhm mi en poor Daag free.,Ich nehme mir ein paar Tage frei.,
Ik nöhm mi en poor Daag free.,Ich nehme mir einige Tage frei.,
De Eerd besteiht ut Seed un Land.,Die Erde besteht aus Meer und Land.,
"Dat regent, aver se hett keen Mantel an.","Es regnet, aber sie trägt keinen Mantel.",
Mien Rügg deit jümmer noch weh.,Mein Rücken schmerzt immer noch.,
De Buur deed in ’n April Mest seihn.,Der Bauer breitet im April den Mist aus.,
Wat het se mit alle datt Geld maakt?,Was hat sie mit dem ganzen Geld gemacht?,
Wult ji en Köpken Kofi?,Möchten Sie eine Tasse Kaffee?,
Dat Bild lett mi an mien Kindheid denken.,Das Bild erinnert mich an meine Kindheit.,
De lütten Steern dor is de hellst.,Der kleine Stern da ist der hellste.,
Wat maakt joon Söön?,Was macht euer Sohn?,
He snackt gresig uckerwendsch.,Er spricht ein schreckliches Kauderwelsch.,
Wat för en Steernteken hest du?,Was bist du für ein Sternzeichen?,
Ik leev in Mailand.,Ich lebe in Mailand.,
Binn dien Schoh to.,Binde deinen Schuh zu.,
Exküsen bringen nix.,Entschuldigungen sind nutzlos.,
Ik harrn geern Appelsienensaft.,Ich hätte gerne einen Orangensaft.,
Wo hannelt dat Book von?,Wovon handelt das Buch?,
Kaam her.,Komm her!,
Kaam her!,Komm her!,
"Wi hebbt dat, wat wi bruken, nich kregen.","Wir haben das, was wir brauchten, nicht gekriegt.",
Wat schall ik doon? Ik heff to nix Lust!,Was soll ich tun? Ich habe zu nichts Lust!,
Dat Klima an de middellandsche Seed is temlich liedsaam.,Das mediterrane Klima ist sehr angenehm.,
Tom is al jümmer anners as de annern Kinner wesen.,Tom war schon immer anders als die anderen Kinder.,
De Seed is groot.,Der See ist groß.,
Hier sünd fiev Dollar.,Hier sind fünf Dollar.,
"Jo, datt is Anthony.","Ja, das ist Anthony.",
"Ik nöhm allen trügg, wat ik seggt heff.","Ich nehme alles zurück, was ich gesagt habe.",
Tom is vun siene Peerd beten worrn.,Tom ist von seinem Pferd gebissen worden.,
Tom melk de Koh.,Tom melkte die Kuh.,
Dat is schöön.,Es ist schön.,
Ik bün Antonio.,Ich bin Antonio.,
Woveel köst en halv Kilo?,Wie viel kostet ein halbes Kilo?,
Dor sünd mihr as 50.000 Böker in düsse Bökeree.,Es sind mehr als 50000 Bücher in dieser Bibliothek.,
"Dat gefallt nüms, wenn achter sien Rügg slecht över em snackt warrn.","Niemandem gefällt es, wenn man hinter seinem Rücken schlecht über ihn redet.",
Lat uns nu gohn!,Lasst uns jetzt gehen!,
Inge hett en dicken Moors.,Inge hat einen dicken Hintern.,
Du bünt miene besten Fründ!,Du bist mein bester Freund!,
Du büst mien besten Fründ.,Du bist mein bester Freund.,
Ik wahn in Maastricht.,Ich wohne in Maastricht.,
"Du musst ophören, di so dumm to beren.","Du musst aufhören, dich so dumm zu benehmen.",
Ik laad di to ’n Sushi eten in.,Ich lade dich zum Sushiessen ein.,
Se vertroost em mit ehr Geld.,Sie vertraut ihm mit ihrem Geld.,
De Krieg wees toenn.,Der Krieg war zu Ende.,
Ji snackt toveel.,Ihr redet zu viel.,
"De Eer is en Planeet, keen Steern.","Die Erde ist ein Planet, kein Stern.",
"Ik bün datt nicht wennt, Kaffee ahn Sucker to drinkt.","Ich bin es nicht gewohnt, Kaffee ohne Zucker zu trinken.",
"Ik mag datt, Maschien tohooptosetten.","Ich mag es, Maschinen zusammenzubauen.",
Hätt de Supp smeckt?,Hat die Suppe geschmeckt?,
"Se het em rümsnackt, ehr en Demantring to köpen.","Sie hat auf ihn eingeredet, ihr einen Diamantring zu kaufen.",
Wo groot de Fleger is.,Wie groß das Flugzeug ist.,
Se is maandags faken to laat in ’e School.,Montags kommt sie oft zu spät zur Schule.,
En Reis na ’n Maand in en Ruumschipp is keen Droom mehr.,Eine Reise zum Mond in einem Raumschiff ist kein Traum mehr.,
Dat Kind is mien Süster.,Das Kind ist meine Schwester.,
Schriev em foorts!,Schreib sofort an ihn!,
Ittst du Fleesch oder büst du Vegetarier?,"Isst du Fleisch, oder bist du Vegetarier?",
Du süst trurig ut.,Du siehst traurig aus.,
"He will ehr begööschen, aver se will un will ich ophören to wenen.","Er versuchte sie zu trösten, aber sie hörte nicht auf zu weinen.",
Datt warrn sick nien ännern.,Das wird sich nie ändern.,
Wi seht uns Klock drie.,Wir sehen uns um drei Uhr.,
Ik heet Andrea.,Ich heiße Andrea.,
’Keene hört düsse Brill to?,Wem gehört diese Brille?,
Kan ik datt sehen?,Kann ich das sehen?,
Rias teek en Huus un en Boom.,Maria zeichnete ein Haus und einen Baum.,
"Roop mi an, wenn ji wat findt.","Ruf mich an, wenn ihr etwas findet.",
Ik kaam nech goods mit em ut.,Ich komme nicht gut mit ihm aus.,
Wo geit di datt?,Wie geht es dir?,
Wo geit di datt?,Wie geht’s dir?,
Wat mookt de Kinners? Sloopt or speelt se?,Was machen die Kinder? Schlafen oder spielen sie?,
De lüttste Kontinent is Australien.,Der kleinste Kontinent ist Australien.,
De lüttste Kontinent is Australien.,Der kleinste Erdteil ist Australien.,
In ’n Winter warrn dat froh düüster.,Im Winter wird es früh dunkel.,
De Naricht von sien Dood deed sik utspreden.,Die Information über seinen Tod verbreitete sich.,
"Roop mi foorts an, wenn du em drapen hest.","Ruf mich sofort an, wenn Du ihn getroffen hast.",
Em höört veer grote Buursteden in ’t Binnenland von ’n Staat São Paulo.,Ihm gehören vier große Bauernhöfe im Inneren des Staates São Paulo.,
Wo faken foderst du de Fisch?,Wie häufig fütterst du die Fische?,
Wo faken foderst du de Fischen?,Wie oft fütterst du die Fische?,
Ik hör wat.,Ich höre etwas.,
Ik heff alle Böker wegsmeten.,Ich habe alle Bücher entsorgt.,
Leevt disse Fisch noch?,Lebt dieser Fisch noch?,
He hätt siene Land för Geld verköfft.,Er hat für Geld sein Land verkauft.,
Ik heff en Granaatappel.,Ich habe einen Granatapfel.,
Ik bün praat to starven.,Ich bin bereit zu sterben.,
Ik bün praat to starvt.,Ich bin zu sterben bereit.,
Wat meenst du dor mit?,Was meinst du damit?,
Se deed em gliek kennen.,Sie hat ihn sofort erkannt.,
He möök en Weltreis.,Er unternahm eine Weltreise.,
Ik bün in Matsuyama boren un opwussen.,Ich bin in Matsuyama geboren und aufgewachsen.,
Ik mag keene Sushi.,Ich mag kein Sushi.,
De Buss is tein Minuten to lat ankamen.,Der Bus hatte zehn Minuten Verspätung.,
Dit Kniev het mi goods deent.,Das Messer hat mir gute Dienste geleistet.,
En Roos is en Bloom un en Duuv is en Vågel.,Eine Rose ist eine Blume und eine Taube ist ein Vogel.,
He is na ’t Stadion wäsen.,Ich bin im Stadion gewesen.,
"Tom is de gröttste Keerl, den ik miendaag sehn heff.","Tom ist der größte Mann, den ich jemals gesehen habe.",
Wahns du alleen?,Wohnst du allein?,
Wi sünd Studenten.,Wir sind Studenten.,
"Een is root, datt annere witt.","Eins ist rot, das andere weiß.",
Miene Dochter geit to School.,Meine Tochter geht zur Schule.,
Mien Dochter geiht to School.,Meine Tochter geht in die Schule.,
Een kann keen twee Saken opmaal doon.,Man kann nicht zwei Dinge gleichzeitig tun.,
Een kan keene twe Saken opmaal doot.,Man kann nicht zwei Dinge auf einmal tun.,
Du büst ja keen lütten Tüffel!,Du bist ja kein kleiner Dummkopf!,
Wat hätt ehr so füünsch maakt?,Was hat sie so wütend gemacht?,
He is ganz un gornich perfekt.,Er ist bei Weitem nicht perfekt.,
Dann hebbt se SOS funkt.,Dann haben sie SOS gefunkt.,
Wullt du noch en Appel?,Möchtest du noch einen Apfel?,
Tom leeg sik op ’n Rügg.,Tom legte sich auf den Rücken.,
Se wees mit Knütten togang.,Sie war mit Stricken beschäftigt.,
Se hebbt wi lang töven laten.,Sie haben mich lange warten lassen.,
Büs du na ’n Dokter wäsen?,Bist du beim Doktor gewesen?,
Mak datt Licht an. Ik kan nix sehen.,Mach das Licht an! Ich kann sonst nichts sehen.,
Ik bün vonmorgen Klock fiev opwaakt.,Ich bin heute früh um fünf Uhr aufgewacht.,
Goden Dag!,Guten Tag!,
Ik eet jüst Krabben.,Ich esse gerade Krabben.,
Ik bün nicht gägen Tetanus empt.,Ich bin nicht gegen Tetanus geimpft.,
"Ik wees ganz vermöödt, kunn aver liekers nich toslapen.","Ich war todmüde, konnte aber trotzdem nicht einschlafen.",
Tom is keene Englänner.,Tom ist kein Engländer.,
He rükt den ganzen Dag na Schokelaad.,Er riecht den ganzen Tag Schokolade.,
Wat böst du so gnatterig?,Was bist du so mürrisch?,
Se hett en Geheemnis.,Sie hat ein Geheimnis.,
Düsse Pass gellt fief Joht lange.,Dieser Pass ist fünf Jahre gültig.,
"Hollywood is nich mehr, wat dat maal wees.","Hollywood ist nicht mehr, was es mal war.",
Dröff ik en Foto von jo moken?,Darf ich ein Foto von euch machen?,
Use Nauber hett sich en smuck Peerd köfft.,Unser Nachbar hat sich ein hübsches Pferd gekauft.,
De Mann is naakt.,Der Mann ist nackt.,
Is se weg?,Ist sie weg?,
Se is mit em verlöövt.,Sie ist mit ihm verlobt.,
Laat dat Eten nich anbrennen.,Lass das Essen nicht anbrennen.,
He höllt sik för en groten Dichter.,Er hält sich für einen großen Dichter.,
Kickt jo de Weltkoort an.,Schaut die Weltkarte an.,
Waorüm bünt du gnatterig?,Warum bist du so mürrisch?,
He lehrt Dag un Nacht.,Er lernt Tag und Nacht.,
Ik heff keene Bewies för datt Gegendeel.,Ich habe keinen Beweis für das Gegenteil.,
"De Keller is dreckig, düüster un he stinkt.","Der Keller ist dreckig, dunkel, und er stinkt.",
"Kan ik datt kregen, wenn du datt ich mehr bruukst?","Kann ich das kriegen, wenn du das nicht mehr brauchst?",
"Se will nich, dat he noch länger blifft.","Sie wollte nicht, dass er noch länger bleibt.",
Wat is dien leevsten Romaan?,Was ist dein Lieblingsroman?,
In miene Kopp het datt jüst noch Sinn maakt!,In meinem Kopf hat es gerade noch Sinn gemacht!,
"De Hand hätt fief Finger: den Dumen, den Wiesfinger, den Middelfinger, den Ringfinger un den lütte Fingers.","Die Hand hat fünf Finger: den Daumen, den Zeigefinger, den Mittelfinger, den Ringfinger und den kleinen Finger.",
De Froonslüüd speelt Tennis.,Die Frauen spielen Tennis.,
Anne het en Barg Frünn.,Ann hat eine Menge Freunde.,
Is dat allen?,Ist das alles?,
Dat is allen?,Das ist alles?,
Datt is allen.,Das ist alles.,
"Ik kenn een, de good Russ’sch snackt.","Ich kenne jemanden, der gut Russisch spricht.",
Jane süht önnig blied ut.,Jane sieht sehr glücklich aus.,
"Denkt dor an, dat wi de Folgen von joon Hanneln arvt.","Denkt daran, dass ihr uns die Folgen eures Handelns hinterlasst.",
Ik will na ’n Maand flegen.,Ich möchte zum Mond fliegen.,
Ik heff nech alltoveel Geld.,Ich habe nicht zu viel Geld.,
Verbaden Frücht smeckt goods.,Verbotene Früchte schmecken süß.,
Du schullst datt gliek doot.,Du solltest es sofort tun.,
Du schusst dat glieks doon.,Du solltest das gleich machen.,
Uns Ünnerricht fangt Viddel na söven an.,Unser Unterricht beginnt um 7:15 Uhr.,
Datt sünd mien Böker.,Das sind meine Bücher.,
Se kan em goods namaken.,Sie kann ihn gut nachmachen.,
Se kan em goods namaken.,Sie kann ihn gut imitieren.,
Ik heff mien Arbeid al trech.,Ich habe meine Arbeit schon erledigt.,
"He weet, wat he seggt.","Er weiß, was er sagt.",
Ik will dansen.,Ich will tanzen.,
Ik heff en Termin bi ’n Dokter.,Ich habe einen Termin beim Arzt.,
Datt wees en Löög.,Das war eine Lüge.,
De pers’sche Spraak schall leven!,Es lebe die persische Sprache!,
Se is en goden Melkkoh!,Sie ist eine gute Milchkuh!,
Froonslüüd toeerst.,Die Frauen zuerst.,
Wat snackst du för ’n Narrnkraam?,Was sprichst du für ein dummes Zeug?,
Düsse Stoffsugers maakt veele Larm.,Dieser Staubsauger macht viel Lärm.,
Ik warr jo al heimlüchten.,Ich werde euch schon heimleuchten.,
De Verenigten Staten sünd en groot Land.,Die Vereinigten Staaten sind ein großes Land.,
Du musst mit datt Smeuken opholen.,Du musst mit dem Rauchen aufhören.,
