nds,de,title
"Se weet, wo en Atoombomb maakt warrn.","Sie wissen, wie man eine Atombombe baut.",
Se keek em bi ’t Äten to.,Sie schaute ihm beim Essen zu.,
Datt Impressum is op Siet 5.,Das Impressum befindet sich auf Seite 5.,
Düsse huer?,Ist es das?,
Ik höör Stimmen.,Ich höre Stimmen.,
Nu hör op to wenen.,Jetzt hör auf zu weinen.,
Ik sta alltied ünner Druck.,Ich stehe dauernd unter Druck.,
Ik heff jo düsse Geschicht villicht al maol vertellt.,Ich habe euch diese Geschichte vielleicht schon mal erzählt.,
"Mi dücht, de Regent warrn duller.","Ich glaube, der Regen wird stärker.",
De Jugs hebbt Döst.,Die Jungen haben Durst.,
Ik bruuk Beschatennööt.,Ich brauche Muskatnuss.,
Ik bün von alle de Jugs de gröttste.,Ich bin von allen Jungen der größte.,
"De Regeren lett, as wenn se nech weet, wat to doot is.","Die Regierung scheint nicht zu wissen, was zu tun ist.",
"Se unn em nicht övertügen, en Leeg för ehr to schrievt.","Sie konnte ihn nicht überzeugen, ein Lied für sie zu schreiben.",
Düsse Schrievdisch is von Holt maakt.,Dieser Schreibtisch ist aus Holz hergestellt.,
Deist du datt jeden Dag?,Machst du das jeden Tag?,
"De enen fohrt lever an de Seed, de anneren lever na de Bargen.","Die einen fahren lieber ans Meer, die anderen ziehen die Berge vor.",
Ik müss op de Kinners oppassen.,Ich musste auf die Kinder aufpassen.,
Se versöch so veele to sporen as man geit.,Sie versucht so viel zu sparen wie es geht.,
Nüms kan düsse Maschienen bedenen.,Niemand kann diese Maschine bedienen.,
Ik mak mit.,Ich bin dabei.,
Ik mak mit.,Ich mache mit.,
Woveel Bröder hebbt ji?,Wie viele Brüder habt ihr?,
Dröff ik datt anproven?,Darf ich das anprobieren?,
Wat is datt vandage wees förn Schietwedder!,Was ist das heute wieder für ein Mistwetter!,
"Nee, ik weet datt ich.","Nein, ich weiß es nicht.",
"Fein Wederk, nech?","Schönes Wetter, oder?",
Ik bün nu dörtig.,Ich bin jetzt 30 Jahre alt.,
Ik bün nu dörtig.,Ich bin jetzt dreißig.,
Datt Läven is mooi.,Das Leben ist schön.,
Nicht alle Nettkieker sünd seker.,Nicht alle Browser sind sicher.,
Nüms weet de Antwoort.,Niemand weiß die Antwort.,
Diene Fööt sünd smuddelig.,Deine Füße sind schmutzig.,
Bi ’n Karneval in Venedig hebbt de Lüdd jümmerto Schabellenköpp op.,Beim Karneval in Venedig haben die Leute immer Gesichtsmasken auf.,
Ik heff miene Naverslüüd to ’n Avendenten inlaadt.,Ich habe meinen Nachbarn zum Abendessen eingeladen.,
Ik heff em sülvens sehen.,Ich habe ihn selbst gesehen.,
He is vüör ’n Hund bange.,Er hat Angst vor dem Hund.,
He greep datt Tau un deed sick redden.,Er ergriff das Seil und rettete sich.,
Datt Wicht von Gold warrn in Gramm meten.,Das Gewicht von Gold misst man in Gramm.,
He hätt siene Komer reinmaakt.,Er hat sein Zimmer sauber gemacht.,
Wi segen nix as Daak.,Wir sahen nichts als Nebel.,
"Grööt ehr man, wenn du ehr bi de Party sühst.","Bitte grüß sie von mir, wenn du sie auf der Party siehst!",
"Datt is nu jüst en Joht, datt ik verheirodt bün.","Es ist gerade ein Jahr her, dass ich verheiratet bin.",
"Datt is nu jüst en Joht, datt ik verheirodt bün.",Ich bin jetzt genau ein Jahr verheiratet.,
Ik bün free.,Ich bin frei.,
Ik heff di hört.,Ich habe dich gehört.,
Du sühst tæmlich bleek ut.,Du siehst ziemlich blass aus.,
Datt is ut fien Kattuun maakt.,Es ist aus feiner Baumwolle.,
Hess du Geld?,Hast du Geld?,
"Wenn du ich gohn wullt, dann bruukst du ook nech.","Wenn du nicht gehen möchtest, brauchst du auch nicht.",
"Ik heff jem jümmerto wedder inlaadt, man se sünd nienich komen.","Ich habe sie zwar immer wieder eingeladen, aber sie sind nie gekommen.",
Datt is keene Drinkwater.,Das ist kein Trinkwasser.,
Ik kan datt ook nicht verkloren.,Ich kann es auch nicht erklären.,
Snied den Koken mit en Mest.,Schneide den Kuchen mit einem Messer.,
De Storm het för veele Schadens sorgt.,Der Sturm verursachte viele Schäden.,
Du wettst datt beters as ik.,Du weißt das besser als ich.,
Du wettst datt beters as ik.,Das weißt du besser als ich.,
Datt wettst du beters as ik.,Das weißt du besser als ich.,
Ik kiek gern Lesbenpornos.,Ich schaue gerne lesbische Pornos.,
De Stalens von ’n Disch sünd wackelig.,Die Tischbeine sind wackelig.,
"He wüss ich, wat he seggen schull.","Er wusste nicht, was er sagen sollte.",
Mien Süster besökt en Universitäät.,Meine Schwester besucht eine Universität.,
De goden Seemann is bi leed Wederk to kennen.,Den guten Seemann erkennt man bei schlechtem Wetter.,
Ik bün Elektriker.,Ich bin Elektriker.,
Datt wees en teemlich kolen Winter.,Es war ein sehr kalter Winter.,
New York is en Grootstad.,New York ist eine Großstadt.,
"Fœg mi bi Facebook tau, wenn du wullt. Ik heet dor Ryck Vernaut.","Füg mich, wenn du möchtest, bei Facebook hinzu. Ich heiße da Ryck Vernaut.",
Wat löpt opstunns in ’t Kino?,Was läuft momentan im Kino?,
Ik bün drie Daag lange dor bleven.,Ich bin drei Tage lang dort geblieben.,
Ik bün drie Daag lange dor bleven.,Ich bin drei Tage dort geblieben.,
Ik bün drie Daag lange dor bleven.,Ich war drei Tage da.,
Ik bün drie Daag lange dor bleven.,Ich war drei Tage dort.,
Ik kan keene Fleesch äten.,Ich kann kein Fleisch essen.,
Ik speel giern Football.,Ich spiele gern Fußball.,
Ik speel gern Football.,Ich spiele gerne Fußball.,
Du afkriggst gliek een op ’n Dööts!,Du kriegst gleich einen auf die Nuss!,
Dreih de Musiek op!,Drehe die Musik auf!,
Ik treck tokamen Maand ut.,Ich ziehe nächsten Monat aus.,
Dit Ei rükt fulig.,Dieses Ei riecht faul.,
Harrn Tom Fienden?,Hatte Tom Feinde?,
He singt giern bi ’t Baden.,Er singt gern beim Baden.,
Ik studier Kunsthistorie.,Ich studiere Kunstgeschichte.,
Du schußt mit datt Smeuken un Supen ophollen.,Du solltest mit dem Rauchen und Trinken aufhören.,
Op ’n Toorn sitt en Antenn.,Auf der Spitze sitzt eine Antenne.,
Waorüm wullt du em ümbringen?,Warum willst du ihn umbringen?,
Wat för en Tofall!,Was für ein Zufall!,
Dor wees nüms in ’t Huus.,Es war niemand zuhause.,
Ik kaam ut China.,Ich komme aus China.,
Liggt op ’n Disch Böker?,Liegen auf dem Tisch Bücher?,
Wo lange sünd ji al tohoop?,Wie lange seid ihr schon zusammen?,
Peter will Dokter warrt.,Peter wollte Arzt werden.,
De Topp von ’n Barg is üm un bi 2000 Meter övers de Seed.,Die Spitze des Berges ist ungefähr 2000 Meter über Normalnull.,
He nehm toveel Hau op siene Fork.,Er nahm zu viel Heu auf seine Forke.,
In ’e Midd von ’n Park is en Diek.,In der Mitte des Parks ist ein Teich.,
Lüdd schullt Deerten nech pieren.,Menschen dürfen keine Tiere quälen.,
De Mehrheid von de Sweizers köönt drie odder veer Spraken snacken.,Die Mehrheit der Schweizer können drei oder vier Sprachen sprechen.,
Wo övers?,Worüber?,
Ik schall an diene Wöör denken.,Ich werde an deine Worte denken.,
"Allen, wat du doot musst, is töven.","Alles, was du machen musst, ist warten.",
Frankriek is bange.,Frankreich hat Angst.,
Köönt wi küern?,Können wir reden?,
Ji verstahn nien miene Jökelee.,Ihr versteht meine Scherze nie.,
En goden Sünnbrill schuult de Ogen vüör UV-Strahlen.,Eine gute Sonnenbrille schützt die Augen vor UV-Strahlung.,
Ik bün in ’n Ünnerricht slapen.,Ich bin während des Unterrichts eingeschlafen.,
Nu isset in ’n Dutt.,Jetzt isses im Eimer.,
Klock tein avends slaap ik al.,Um zehn Uhr abends schlafe ich schon.,
Kan ik wat to drinkt kregen?,Kann ich etwas zum Trinken bekommen?,
Düsse Satz hört mi nicht.,Dieser Satz gehört mir nicht.,
Datt Kükens wull ümmer klöker sin as datt Hauhn.,Das Küken will immer klüger sein als das Huhn.,
Süüddüütschland hätt veele Bargen.,Süddeutschland ist bergig.,
Wi sünd jümmerto Frünn wäsen.,Wir sind immer Freunde gewesen.,
Ik bruuk en goden Sünnbrill.,Ich brauche eine gute Sonnenbrille.,
Se hollt datt geheem.,Sie halten es geheim.,
Woneem bün ik?,Wo bin ich?,
Ik weet.,Ich weiß.,
Köönt ji mi en Koorten von joon Straat teken?,Könnt ihr mir eine Karte von eurer Straße zeichnen?,
Wat maakt ji twe dor?,Was macht ihr zwei da?,
Datt Door warrn Klock achte dichtmaakt.,Das Tor wird um acht Uhr geschlossen.,
Woso?,Warum?,
Wo smeckt düsse Supp?,Wie schmeckt diese Suppe?,
Keih sünd mihr nütt as elk annern Deert in dit Land.,Kühe sind nützlicher als jedes andere Tier in diesem Land.,
Wi sünd mit datt Schipp von Yokohama na Kobe fohrt.,Wir sind mit dem Schiff von Yokohama nach Kobe gefahren.,
De Buss keem tein Minuten to lat.,Der Bus kam zehn Minuten zu spät.,
Lees ich so en Book.,Lies nicht so ein Buch.,
Wannehr is de trech worrn?,Wann wurde sie fertiggestellt?,
"Ik will, ik harrn en anneren Keerl freet.","Ich wünschte, ich hätte einen anderen Mann geheiratet.",
Datt Gras is to nat to ’n Hensetten.,Das Gras ist zu nass zum Hinsetzen.,
Hör nech op den Keerl.,Höre nicht auf den Mann.,
Woveel Pund Wuost un woveel Broot wüllt ji hebben?,Wieviel Pfund Wurst und wieviel Brot wollt ihr haben?,
Datt brune Peerd is gau.,Das braune Pferd ist schnell.,
"Ik heff twe Stunnen brukt, üm düssen Satz butenkopps to lihren.","Ich habe zwei Stunden gebraucht, um diesen Satz auswendig zu lernen.",
Ik bruuk Broot un Melk.,Ich brauche Brot und Milch.,
Se kofft noch jümmerto Melk.,Sie kauft noch immer Milch.,
Op ’n Schrievdisch liggt en Wöörbook.,Auf dem Schreibtisch liegt ein Wörterbuch.,
Op ’n Tuun sitt twe Kinners.,Auf dem Zaun sitzen zwei Kinder.,
De Katte het mi kratzt.,Ich wurde von der Katze gekratzt.,
Woveel Drinkgeld warrn in Spanien gäven?,Wie viel Trinkgeld gibt man in Spanien?,
Ik wull em later noch wedder anropen.,Ich werde ihn später noch einmal anrufen.,
»Na klaar nicht!« sę ik.,Bestimmt nicht! sagte ich.,
"Weet he, datt ik huer bün?","Weiß er, dass ich hier bin?",
Wi harr noog vonenanner.,Wir hatten genug voneinander.,
Tom hätt Mary al mihr as een Joht ich mihr sehen.,Tom hat Mary schon mehr als ein Jahr nicht mehr gesehen.,
Datt liggt mi op de Tung.,Es liegt mir auf der Zunge.,
Ik heff allen Geld utgäven.,Ich habe all das Geld ausgegeben.,
Soveel Äten kan ik nienich alleen opeten.,So viel Essen kann ich niemals alleine aufessen.,
Ik kan mit miene besten Fründ övers allen snacken.,Ich kann mit meinem besten Freund über alles sprechen.,
Op ’n Wederbericht kunnst di nech verloten.,Der Wetterbericht ist nicht unbedingt zuverlässig.,
Ik bün Tourist.,Ich bin Tourist.,
Waals freet lüttje Fischen.,Wale ernähren sich von kleinen Fischen.,
He is alltiet rechttiedig.,Er ist immer pünktlich.,
"Ik will, he wees nu huer.","Ich wünschte, er wäre jetzt hier.",
Wi sünd alltohoop achte.,Wir sind insgesamt acht.,
De Afscheen von de Atoomkraft is en beslaten Saak.,Der Atomausstieg ist beschlossene Sache.,
Se utsnackt toveel.,Sie reden zu viel.,
"Du bünt sau dumm, datt di de Gäuse biet.","Du bist so dumm, dass dich die Gänse beißen.",
Waorüm studeerst du?,Warum studierst du?,
Wat deist du nu?,Was tust du gerade?,
Ik weet datt wiss.,Ich weiß es mit Sicherheit.,
Wi häbt usse Plünnen tohaupe smiten.,Wir haben unsere Wäsche zusammengeworfen.,
Ik bün en Weltbörger.,Ich bin ein Weltbürger.,
Düsse Bloom is geel un de anner sünd blau.,Diese Blume ist gelb und die anderen sind blau.,
Ik heff mi ’n ganzen Dag in’n Woold versteken.,Ich habe mich den ganzen Tag im Wald versteckt.,
Nicht alle Vogels fleegt.,Nicht alle Vögel fliegen.,
"He is keene Dummboord, he het Plie!","Er ist kein Dummkopf, er hat Verstand!",
De Daam drinken nu Woter.,Die Dame trinkt nun Wasser.,
Ik verdeen 100 Euro an ’n Dag.,Ich verdiene 100 Euro pro Tag.,
Ik verdeen 100 Euro an ’n Dag.,Ich verdiene 100 Euro am Tag.,
Se hört Radio.,Sie hören Radio.,
Is dor en Katz ünner ’n Disch?,Ist eine Katze unter dem Tisch?,
Hummeln sünd gröttern as Immen.,Hummeln sind größer als Bienen.,
Datt is en Popp.,Das ist eine Puppe.,
"Nüms weet, wat em so piert.","Niemand weiß, was ihn so quält.",
He is Schoolmeester.,Er ist Lehrer.,
Tony hätt ’t tweibraken.,Tony hat's zerbrochen.,
"Mary wünscht sick, datt se gladd Hoor kriegt.","Mary wünscht sich, dass sie glattes Haar hätte.",
Datt wees ich miene Schuld.,Das war nicht meine Schuld.,
"He het Franzöösch lihrt, as he junge wees.","Er hat Französisch gelernt, als er jung war.",
"Ik fraag mi, waorüm Froonslüüd keene Platt kriggt.","Ich frage mich, warum Frauen keine Glatze bekommen.",
"Ik hööp, datt se mi hölpt.","Ich hoffe, dass sie mir hilft.",
Sweden hätt en egen Spraak.,Schweden hat eine eigene Sprache.,
Köln liggt an ’n Rhien.,Köln liegt am Rhein.,
Datt is miene Unkels siene Wagen.,Das ist der Wagen meines Onkels.,
Do diene Mütz op.,Setz deine Mütze auf.,
Ik wull en Kamellentee.,Ich möchte einen Kamillentee.,
"Ik heff nüms, wo ik Noorweegsch mit euven kan.","Ich habe niemanden, mit dem ich Norwegisch üben kann.",
Ik heff ehr tofällig an ’n Bahnhoff dropen.,Ich habe sie zufällig auf dem Bahnhof getroffen.,
He is en Niggelpriem.,Er ist ein kleinlicher Mensch.,
De Fotos dor sünd siene.,Die Fotos dort sind seine.,
Tom wull sick nech ännern.,Tom will sich nicht ändern.,
Ik wees in ’e Bargen.,Ich war in den Bergen.,
Wi hebbt drie Kinners.,Wir haben drei Kinder.,
Se deed en swarten Hoot dregen.,Sie hat einen schwarzen Hut getragen.,
Snackst du Latien?,Sprichst du Latein?,
Wannehr sünd wi dor?,Wann sind wir endlich da?,
Woneem is de Ingang von datt Museum?,Wo ist der Eingang des Museums?,
Maakt ji to!,Beeilt euch!,
Maakt ji to!,Macht schnell!,
Do doch nicht so dicke!,Trage doch nicht so dick auf!,
Lat uns wat doot!,Lass uns was machen!,
Krinten sünd inschrumpelt Wiendruven.,Rosinen sind geschrumpfte Weintrauben.,
Ik weet en Appel to schellt.,"Ich weiß, wie man einen Apfel schält.",
"Ik denk ich, datt ik winnen kan.","Ich denke nicht, dass ich gewinnen kann.",
Süst du noch wat anners?,Siehst du noch etwas anderes?,
"En Gepard, de ’t hild het, kan 120 km/h gau warrt.","Ein Gepard, der es eilig hat, kann eine Geschwindigkeit von 120 km/h erreichen.",
En Brill lett di veele kläuker utsehn.,Eine Brille lässt dich viel klüger aussehen.,
Ik wull en poor Tüften.,Ich möchte ein paar Kartoffeln.,
"Hätt Tom verspraken, us to helpen?","Hat Tom versprochen, uns zu helfen?",
Datt schummert bilütten.,Die Abenddämmerung setzte allmählich ein.,
Du dröffst nech toveel Ies un Spaghetti äten.,Du darfst nicht zu viel Eis und Spaghetti essen.,
In ’n Diek is nicht veele Woter.,Im Weiher ist nicht viel Wasser.,
Kunnst du datt moken?,Kannst du das machen?,
Wo geihst du dunn hn? Schullen wi mitgahn?,Wo gehst du denn hin? Sollen wir mitgehen?,
He kinnt den Börgermeester.,Er kennt den Bürgermeister.,
Gefallt jo San Francisco?,Gefällt euch San Francisco?,
Se het mi inladen.,Sie hat mich eingeladen.,
Se hätt mi inladen.,Sie lud mich ein.,
Datt sünd vüör allens jund Lüdd.,Es sind überwiegend junge Leute.,
He het mi verraden.,Er hat mich verraten.,
Ik heff en ganze Stünn op di tövt.,Ich habe eine ganze Stunde auf dich gewartet.,
De Wann is vull.,Die Wanne ist voll.,
Ik wull en nee Bier.,Ich möchte ein neues Bier.,
Ik heff de verkehrten Adress op ’t Kuvert schräven.,Ich schrieb die falsche Adresse auf den Umschlag.,
Düsse Klock geit ich.,Diese Uhr funktioniert nicht.,
Düsse Klock geit nech.,Diese Uhr geht nicht.,
Irland liggt in Westeuropa.,Irland liegt in Westeuropa.,
"Koort hölpt uns dor bi, Geografie to lihren.","Karten helfen uns dabei, Geographie zu lernen.",
"Se hebbt mi inlaadt, Koort to speelen.",Sie haben mich zum Kartenspielen eingeladen.,
Uns is datt Benzin uttogahn.,Uns ist das Benzin ausgegangen.,
Uns is datt Benzin uttogahn.,Uns ging das Benzin aus.,
He seet dor un hätt Piep smökt.,Er saß dort und rauchte Pfeife.,
"Mi rüüt datt, datt ik sowat daan heff.","Ich bereue es, so etwas getan zu haben.",
Uns School is in de Neeg von ’n Bahnhoff.,Unsere Schule befindet sich in der Nähe des Bahnhofs.,
Düssen Satz brukt doch nüms.,Diesen Satz braucht doch keiner.,
He drünk en Bier.,Er trank ein Bier.,
Tom speelt gern Baseball.,Tom spielt gern Baseball.,
’Keene hölpt mi?,Wer hilft mir?,
"Datt is swor, op diene Fraag to antern.","Es ist schwierig, deine Frage zu beantworten.",
Datt is datt Enn von de Welt as wi ehr kinnt.,"Das ist das Ende der Welt, wie wir sie kannten.",
Se hebbt den Krigg an de Oostfront verlorene.,Sie haben den Krieg an der Ostfront verloren.,
Se nickköpp un deed tostimmen.,Sie nickte zustimmend mit dem Kopf.,
"Villicht segg ik Tom bäter nicht, wat Rias doot het.","Vielleicht sage ich Tom besser nicht, was Maria getan hat.",
Sätz anfangt mit en grotten Bookstaven an.,Sätze fangen mit einem Großbuchstaben an.,
Wi mööt nu toslapen gohn.,Wir müssen nun schlafen gehen.,
Datt is swor mit em dörtokamen.,"Es ist schwer, mit ihm auszukommen.",
Du büs duune!,Du bist besoffen!,
Se hebbt em to ’n Börgermeester wählt.,Sie haben ihn zum Bürgermeister gewählt.,
Twe Kinners hebbt op de Straat speelt.,Zwei Kinder spielten auf der Straße.,
He hätt sick en Exküüs utdacht.,Er erfand eine Entschuldigung.,
"Se is in de USA upwossen, man ehr Moddersprook is Japaanschen.","Sie ist in den USA aufgewachsen, doch ihre Muttersprache ist Japanisch.",
Beters in de Hell regeren as in ’n Himmel denen.,Besser in der Hölle regieren als im Himmel dienen.,
Dor wohnt Tom un Rias.,Da wohnen Tom und Maria.,
Tom het miene Wekenenn rugeneert.,Tom hat mein Wochenende ruiniert.,
Datt kunnst du ich bewiesen.,Das kannst du nicht beweisen.,
Du kunnst datt nech bewiesen.,Du kannst das nicht beweisen.,
Mit ’keene gest du utsnackt?,Mit wem hast du gesprochen?,
De mehrsten Mennoniten in Peru un Bolivien utsnackt Plattdüütsch un hebbt nienich Spaansche lihrt.,Die meisten Mennoniten Perus und Boliviens sprechen Niedersächsisch und haben nie Spanisch gelernt.,
Do heff ik jüst duuscht.,Da habe ich gerade geduscht.,
He nöhm siene Brill af.,Er nahm seine Brille ab.,
Datt hätt weniger as fööfteihn Dollar kost.,Das hat weniger als fünfzehn Dollar gekostet.,
Ik harrn düsse E-Mail nicht wegstüren dröffen.,Ich hätte diese E-Mail nicht abschicken dürfen.,
Siene Peerd sprüng övers ’n Tuun.,Sein Pferd sprang über den Zaun.,
Ik will dansen.,Ich wollte tanzen.,
Afkennst du dit Leeg?,Kennst du das Lied?,
Afkennst du dit Leeg?,Kennst du dieses Lied?,
Tom is finanziell unafhängig.,Tom ist finanziell unabhängig.,
Tom toog sick an.,Tom zog sich an.,
Tom toog sick an.,Tom hat sich angezogen.,
Keene Stroom op de Welt is länger as de Niel.,Kein Strom auf der Welt ist länger als der Nil.,
Datt Gesett is in de Meiji-Tied utgäven worrn.,Das Gesetz wurde in der Meiji-Zeit erlassen.,
Ik hör em ich.,Ich höre ihn nicht.,
Weer bedankt för den Anroop.,Danke für den Anruf.,
Wo lat is datt dor?,Wie spät ist es dort?,
Von ’t Gras is datt Kalv wiss nech so fett worrn.,Vom Gras ist das Kalb sicher nicht so fett geworden.,
"Mario is so krank, datt he sick kuum rögen kan.","Mario ist so krank, dass er sich kaum bewegen kann.",
De Junge het siene Verscheel nicht ännert.,Der Junge hat seine Meinung nicht geändert.,
Se schrieft nu drie Joht Daagbook.,Sie führt seit drei Jahren ein Tagebuch.,
"Meenst du, datt en bäten Solt den Smack verbetern schull?","Denkst du, dass ein bisschen Salz den Geschmack verbessern würde?",
Siene Nees blöddt.,Seine Nase blutet.,
"En Katte straakt uns ich, se straakt sick an uns.","Eine Katze liebkost uns nicht, sie liebkost sich mittels uns.",
De Noricht hätt mi dulle frein.,Die Nachricht hat mich ganz arg erfreut.,
Datt is wat wieder weg.,Es ist etwas weiter weg.,
Datt is wat wieder weg.,Das ist etwas weiter weg.,
Sünd ji vergangen Nacht uttogahn?,Seid ihr letzte Nacht ausgegangen?,
He levt in datt Huus dor achtern.,Er lebt in dem Haus dahinten.,
Datt is al lat.,Es ist schon spät.,
En Hund het veer Poten.,Ein Hund hat vier Pfoten.,
He is Swiezer.,Er ist Schweizer.,
He hätt Mary en Koorten tostüürt.,Er hat Mary eine Karte geschickt.,
"Datt Läven wees eenfacher, as ik Jugs noch doov funn!","Das Leben war einfacher, als ich Jungs noch doof fand!",
Datt Ies op ’n Seed unn siene Wicht nech dregen.,Das Eis auf dem See konnte sein Gewicht nicht tragen.,
Du hess keene Hart.,Du hast kein Herz.,
Tom is giern buten.,Tom ist gerne draußen.,
Ik kenn ehr.,Ich kenne sie.,
Beters en half Ei as en leddige Dopp.,"Besser ein halbes Ei, als eine leere Eierschale.",
Musiek is en Weltspraak.,Musik ist eine Weltsprache.,
Ik bün goods toweeg.,Ich fühle mich wohl.,
He mag Katten nicht gern lieden.,Er mag Katzen nicht arg leiden.,
Söökt ji wat?,Sucht ihr etwas?,
Düsse Geschicht kan ich wohr wäsen.,Diese Geschichte kann nicht wahr sein.,
Ick häb en Dochter.,Ich habe eine Tochter.,
Wi hört Musiek.,Wir haben Musik gehört.,
He süht plietsch ut.,Er sieht schlau aus.,
De Roos is von Theodor.,Die Rose ist von Theodor.,
De Christen glövt an Jesus Christus.,Die Christen glauben an Jesus Christus.,
Ik heff datt alleen maakt.,Ich habe es allein gemacht.,
Lat mi von de Ieskreem wat övers.,Lass mir von der Eiskrem etwas übrig.,
Lat mi von de Ieskreem wat övers.,Lass mir von dem Eis etwas übrig!,
Düsse Schoh sünd en bäten to groot.,Diese Schuhe sind etwas groß.,
Se sünd na ’n Zoo gohn.,Sie sind in den Zoo gegangen.,
He het en bäten Geld.,Er hat ein bisschen Geld.,
Is dor noch Solt?,Gibt es noch Salz?,
"Ik heff em fraagt, waorüm as he so trurig is.","Ich habe ihn gefragt, warum er so traurig ist.",
De Töövstuuv is leddige.,Das Wartezimmer ist leer.,
"Ik weet, waorüm Tom datt nech geern deit.","Ich weiß, warum Tom das nicht gerne tut.",
Se hätt en smucke Popp.,Sie hat eine hübsche Puppe.,
Ik wull en poor Nudeln.,Ich möchte ein paar Kartoffeln.,
De Snee is smulten.,Der Schnee ist geschmolzen.,
Se wees böös. Dorüm het se swegen.,Sie war wütend. Darum schwieg sie.,
Ik heff vonmorgen deegt Aptiet.,Ich habe heute Morgen richtig Appetit.,
Ans weet ik nix.,Darüber hinaus weiß ich nichts.,
Se dröffen nachtens nicht rut.,Sie dürfen nachts nicht raus.,
He hätt den tweeten Platz maakt.,Er hat den zweiten Platz gemacht.,
Sien Theorie is swor to verstohn.,Seine Theorie ist schwer zu verstehen.,
En Scheer liggt op ’n Disch.,Eine Schere liegt auf dem Tisch.,
Ik bün jüst ierst na Huus komen.,Ich bin gerade erst heimgekommen.,
Sett jo an den Disch.,Setzt euch an den Tisch.,
"Ut Mehl, Melk un en Ei kan man en Koken backen.","Aus Mehl, Milch und einem Ei kann man einen Kuchen backen.",
Sünd ji avends jümmerto tohuus?,Seid ihr abends immer zu Hause?,
Loop so gau datt geit.,"Lauf, so schnell du kannst!",
Deelt Leeg is half Leeg.,Geteiltes Leid ist halbes Leid.,
"Wittkohl, Blomenkohl, Brokkoli un Rosenkohl sünd alle Oorden von de desülve Plantenoord.","Weißkohl, Blumenkohl, Brokkoli und Rosenkohl sind alles Sorten derselben Pflanzenart.",
Ik bün na de Bänk wäsen üm Geld to halen.,"Ich bin auf der Bank gewesen, um Geld zu holen.",
Ik bün bange vüör Ulen.,Ich habe Angst vor Eulen.,
De Klock in den Kiärktaon släög niëgen.,Die Uhr im Kirchturm schlägt neun.,
1835 het en Faat Mehl söss Dollar kost.,1835 kostete ein Fass Mehl sechs Dollar.,
Is de Hund en Heken odder en Sekens?,Ist dieser Hund männlich oder weiblich?,
Se füng an to süngen.,Sie begann zu singen.,
Se füng an to süngen.,Sie fing an zu singen.,
Wullt du ans noch wat?,Willst du sonst noch etwas?,
"Dit is datt best Restaurant, datt ik kenn.","Das ist das beste Restaurant, das ich kenne.",
Se hebbt di narrt.,Sie haben dich zum Narren gehalten.,
Datt is miene Kutt.,Das ist meine Muschi.,
Datt smeckt goods.,Das schmeckt gut.,
Eet ich to veele Koken.,Iss nicht zu viel Kuchen.,
Katten möögt lever Fischen as Fleesch.,Katzen mögen lieber Fisch als Fleisch.,
"Nu nech, man later gern!","Jetzt nicht, aber später gerne!",
"Ik verstoh nicht, wat düsse Satz bedüdt.","Ich verstehe nicht, was dieser Satz bedeutet.",
"’Keene ich lüggt, de verköfft nix.","Wer nicht lügt, der verkauft nichts.",
God hätt de Welt in söss Daag schapen.,Gott hat die Welt in sechs Tagen geschaffen.,
Datt Weder kunn nech beters wäsen.,Das Wetter könnte nicht besser sein.,
He het mi nicht glöövt.,Er hat mir nicht geglaubt.,
Mien Mudder hätt miene Temperatur meten.,Meine Mutter hat meine Körpertemperatur gemessen.,
Waorüm gest du Düütsk lihrt?,Warum hast du Deutsch gelernt?,
He het dit Book mit twintig Joht schräven.,Er hat dieses Buch mit zwanzig Jahren geschrieben.,
Tom hätt toveel kört.,Tom hat zu viel geredet.,
Ik bruuk en Mest.,Ich brauche ein Messer.,
"Ik weet ich, wat he datt weet.","Ich weiß nicht, ob er es weiß.",
Du hess den Snökerkraam äten.,Du hast die Süßigkeiten gegessen.,
Se nehm datt Taxi na ’t Museum.,Sie nahm das Taxi zum Museum.,
"Ik verstoh jo nech, ji möt en bäten luder snacken.","Ich verstehe euch nicht, ihr müßt ein bißchen lauter sprechen.",
Miene besten Fründ danst tæmlich goods.,Mein bester Freund tanzt ziemlich gut.,
Wo lange wullt du hierblieven?,Wie lange gedenkst du hier zu bleiben?,
’Keene is datt?,Wer ist das?,
De Buur groov en Lock; he will en Boom planten.,"Der Bauer grub ein Loch, um einen Baum zu pflanzen.",
Wo geit di datt? Harrst du en goden Reis?,Wie geht es dir? Hattest du eine gute Reise?,
Wo geit di datt? Harrst du en goden Reis?,Wie geht's dir? Hattest du eine gute Reise?,
Se het wol nicht veele Frünn.,Wahrscheinlich hat sie nicht viele Freunde.,
"Dokter Möller wull, datt du noch en Stoot töövst.","Doktor Müller möchte, dass du noch eine Weile wartest.",
Woneem gest du diene Feerne verbröcht?,Wo hast du deine Ferien verbracht?,
Du schullst di duuschen.,Du solltest dich duschen.,
Se hebbt mihr kriegen as ik.,Sie haben mehr als ich bekommen.,
Du schußt beters mit ’n Buss fohren.,Du solltest besser mit dem Bus fahren.,
Dröög Sand nimmt Woter op.,Trockener Sand nimmt Wasser auf.,
Bi den dichten Daak wees de Straat swor to sehen.,Bei dem dichten Nebel war die Straße kaum zu sehen.,
Ik heff vüör datt Avendenten lihrt.,Ich habe vor dem Abendessen gelernt.,
