nds,de
Wi sünd na Middernacht opstahn.,Wir sind nach Mitternacht aufgestanden.
Se hebbt Godd dankt.,Sie haben Gott gedankt.
"Ik fraag mi, wat de Klock seggt.","Ich frage mich, wie spät es ist."
Wat hest du Tom seggt?,Was hast du Tom gesagt?
Ik hör Stimmen in mien Kopp.,Ich höre Stimmen in meinem Kopf.
"Ik heff en Hamer un bün dor nich bang vör, em to bruken!","Ich habe einen Hammer und ich habe keine Angst davor, Gebrauch von ihm zu machen!"
Ik heff den Sommer bi mien Unkel verbröcht.,Ich habe den Sommer bei meinem Onkel verbracht.
Pandas leevt in ’n Bambusbusch.,Pandas leben im Bambusgebüsch.
Ik snack en beten Spaansch.,Ich spreche ein wenig Spanisch.
"Ik hööp, du hest en gode Exküüs.","Ich hoffe, du hast eine gute Ausrede."
Ik toog mi an.,Ich zog mich an.
Ik toog mi an.,Ich habe mich angezogen.
Ik bün Schandarm.,Ich bin von Beruf Polizist.
Ik bün Schandarm.,Ich bin Polizist.
Ik heff jüst mien Waterbuddel över mien Reekner utschüddt.,Ich habe gerade meine Wasserflasche über meinen Computer verschüttet.
De Schuuv von ’n Schrievdisch is apen.,Die Schublade des Schreibtischs ist offen.
Se hett ehr Kinner verlaten.,Sie hat ihre Kinder verlassen.
He hett Vehtucht lehrt.,Er lernte Viehzüchtung.
He hett Vehtucht lehrt.,Er lernte Viehzucht.
"Ik kann dat Tom nich verdenken, dat he mi nich afkann.","Ich kann es Tom nicht verdenken, dass er mich hasst."
He hett an ’n Bahnhoff ans nüms sehn.,Er hat am Bahnhof niemanden sonst gesehen.
Wi levt in Freden.,Wir leben in Frieden.
"Ik harr nienich dacht, dat ik em hier sehn schull.","Niemals habe ich erwartet, dass ich ihn hier sehen würde."
"Wi hopet, dat de Hallebotts ümmer we’er tau üsch komet.","Wir hoffen, dass die Störche immer wieder zu uns kommen."
Hest du dien Föhrerschien?,Hast du deinen Führerschein?
John hett 200 Arbeiders anstellt.,John beschäftigt 200 Arbeiter.
Ik heff ehr in Frankriek kennenlehrt.,Ich habe sie in Frankreich kennengelernt.
Wi hebbt jüst över di snackt.,Wir haben gerade über dich gesprochen.
Deed di dat gefallen to freen un Kinner to hebben?,"Würde es dir gefallen, zu heiraten und Kinder zu haben?"
Wo kennt ji jo von?,Von wo kennt ihr euch?
Wo kennt ji jo von?,Woher kennt ihr euch?
Worüm is he füünsch?,Warum ist er wütend?
De Riesoorn is al inföhrt.,Die Reisernte ist schon eingebracht.
De Riesoorn is al inföhrt.,Die Reisernte ist eingefahren.
Se köönt singen.,Sie können singen.
He gneiset aos en Daiw en Peerstalle.,Er grinst wie ein Dieb im Pferdestall.
Wat hest du mit mien Kugelschriever maakt?,Was hast du mit meinem Kugelschreiber gemacht?
Mien Knee blöddt.,Mein Knie blutet.
De Kolibri is de lüttste Vagel op de Welt.,Der Kolibri ist der kleinste Vogel der Welt.
Ik heff keen Geld.,Ich habe kein Geld.
De Jung itt Brood.,Der Junge isst Brot.
"Ria reep Tom an, aver he wull nich mit ehr kören.","Maria rief Tom an, doch er wollte nicht mit ihr reden."
"De Hund is bruun, lütt un dünn.","Der Hund ist braun, klein und dünn."
Villicht heff ik den Bahnhoff verslapen.,Möglicherweise habe ich den Bahnhof verschlafen.
"Weetst du, ’keen siene Schrift dat is?","Weißt du, wessen Schrift das ist?"
Ik stah jüst buten de Kark.,Ich stehe gerade außerhalb von der Kirche.
De Fohrrääd in Peking hebbt all Nummernschiller.,Die Fahrräder in Peking haben alle Nummernschilder.
Worüm will Tom Ria nich helpen?,Warum will Tom Maria nicht helfen?
Ahn dat Licht von de Sünn kunnen wi nix sehn.,Ohne das Sonnenlicht können wir nichts sehen.
He hett veel Geld togeven.,Er schoss viel Geld zu.
De Boom is ümfullen.,Der Baum ist umgefallen.
"Papa, kööp mi en Vuvuzela!","Papa, kaufe mir eine Vuvuzela!"
Ik mook toveel Tippfehlers.,Ich mache zu viele Tippfehler.
Ohneeohnee! Ik heff de Autoslötels verloren.,Du meine Güte! Ich habe die Autoschlüssel verloren.
Ria weer mien Fründin.,Maria war meine Freundin.
Ehr Fründ is ut Ceará.,Ihr Freund ist aus Ceará.
De Laden is ’n ganzen Dag apen.,Der Laden ist den ganzen Tag offen.
De Laden is ’n ganzen Dag apen.,Das Geschäft hat den ganzen Tag geöffnet.
Dat kann elkeen mallören.,Es kann jedem passieren.
"Wi mööt rutfinnen, of Tom Franzöösch snacken kann.","Wir müssen herausfinden, ob Tom Französisch sprechen kann."
Se warrt tokamen Johr 17.,Sie wird 17 nächstes Jahr.
Is de Arbeid daan?,Ist die Arbeit getan?
Wat för en Grött driggst du?,Welche Größe trägst du?
Du süst mööd ut. Du schusst di en beten utrohn.,Du siehst müde aus. Du solltest dich ein bisschen ausruhen.
Se höört op em.,Sie gehorcht ihm.
En Imm flöög ut dat Finster.,Eine Biene flog aus dem Fenster.
Siene Frünn hebbt em Ted nöömt.,Er wurde von seinen Freunden Ted genannt.
Wat is dien leevst Steernteken?,Was ist dein liebstes Sternzeichen?
Dit Schipp leggt in Hongkong an.,Dieses Schiff legt in Hongkong an.
"Ik heff Tom opfeddert, Gitarr to spelen.","Ich forderte Tom auf, Gitarre zu spielen."
"Ik weet nich, wo laat dat is.","Ich weiß nicht, wie spät es ist."
Hebbt ji en Koort?,Habt ihr eine Karte?
De Köning hett veertig Johr över sien Volk regeert.,Der König hat vierzig Jahre sein Volk regiert.
All Dören von dat Huus sünd dicht.,Alle Türen des Hauses sind geschlossen.
"Na, denn bedank ick mi ok.","Gut, dann bedanke ich mich auch."
De Pohl hett en Dörmeter von 100 Meter.,Der Teich hat einen Durchmesser von 100 Metern.
Du musst vör Klock teihn trüggwesen.,Du musst vor zehn Uhr zurück sein.
Ik snack keen Düütsch.,Ich spreche kein Deutsch.
He söcht Arbeid.,Er sucht Arbeit.
Ik bün in ’n Huus.,Ich bin im Haus.
Ick freu mi mit dat Weder!,Ich freue mich über das Wetter!
"Wo kannst du dat wagen, so to snacken?","Wie kannst du es wagen, so zu reden?"
Du bruukst nich na ’n Tähndokter gahn.,Du brauchst nicht zum Zahnarzt gehen.
Hest du en Websteed?,Hast du eine Website?
Ik deed geern mit Kreditkoort betahlen.,Ich möchte gern per Kreditkarte zahlen.
Dröff ik gahn?,Darf ich gehen?
"Du kannst nich verwachten, dat he de Geschicht kennt, du süst doch, dat he ehr noch nich leest hett.","Wie kannst du erwarten, dass er die Geschichte kennt, wo er sie doch gar nicht gelesen hat?"
Wat hest du mit mien Brill maakt?,Was hast du mit meiner Brille gemacht?
Du schasst gau gesund warrn.,Du wirst schnell gesund werden.
"Wat vörbi is, is vörbi.","Was vorbei ist, ist vorbei."
Ik bün vör nix bang.,Ich fürchte mich vor nichts.
Is dat Geschenk von Laura?,Ist das Geschenk von Laura?
"Ik heff dacht, du müchst mi nich lieden.","Ich dachte, du möchtest mich nicht leiden."
Du kannst nu na Huus gahn.,Du kannst jetzt nach Hause gehen.
"Passt op, wat ji doot!","Passt auf, was ihr tut!"
Ik weer dor faken.,Ich war oft da.
In de Supp fehlt noch en beten Solt.,In dieser Suppe fehlt noch ein wenig Salz.
Woneem is dat Daagbladd?,Wo ist die Zeitung?
Bambus böögt sik in ’n Wind.,Bambus biegt sich im Wind.
Seep helpt gegen den Dreck.,Seife hilft gegen den Schmutz.
Ik bün geern mit di tohoop.,Ich bin gerne mit dir zusammen.
Ik mag Katten.,Ich mag Katzen.
Worüm sünd ji so trurig?,Warum seid ihr denn so traurig?
Disse Insel hett in ’t 19. Johrhunnert to Frankriek höört.,Diese Insel gehörte im 19. Jahrhundert zu Frankreich.
Ji arbeidt toveel.,Ihr arbeitet zu viel.
"Ik heff mi jüst fraagt, wat för Spraken ji snacken köönt.","Ich fragte mich gerade, welche Sprachen Sie sprechen können."
Jo. De Luft is temlich fuchtig.,Ja. Die Luft ist sehr feucht.
Se hett dröög Hoor.,Sie hat trockene Haare.
Ik will di en Geheemnis verraden.,Ich werde dir ein Geheimnis verraten.
He hett mehr Geld as he bruken kann.,Er hat mehr Geld als notwendig.
Ik söök Arbeid.,Ich suche Arbeit.
Du kannst mien Wöörbook bruken.,Du kannst mein Wörterbuch benutzen.
Seep hett de spezielle Egenschop Dreck wegtomaken.,"Seife hat die spezielle Eigenschaft, Schmutz zu entfernen."
Wies mi noch en annere Kamera.,Zeige mir noch eine andere Kamera.
De Spraakkenner kennt Esperanto faken för Spaansch.,Die Spracherkennung hält Esperanto oft für Spanisch.
He drinkt sien Kaffe jümmer swart.,Er trinkt seinen Kaffee immer schwarz.
He drinkt sien Kaffe jümmer swart.,Er trinkt seinen Kaffee immer ohne Milch oder Sahne.
Wi köönt nix maken.,Wir können nichts machen.
De Bodden lett natt.,Der Boden scheint nass zu sein.
He keem twee Stünnen later trügg.,Er kam zwei Stunden später zurück.
Wo lang sneet dat al?,Wie lange schneit es schon?
"Ik fraag mi, ’keen dat utfunnen hett.","Ich frage mich, wer das erfunden hat."
"Se hett versöcht, ehr sülvs ümtobringen.","Sie versuchte, sich umzubringen."
"Se hett versöcht, ehr sülvs ümtobringen.","Sie hat versucht, sich selbst umzubringen."
Tööv op mi vör dat Huus von mien Groot-Grootkind.,Erwarte mich vor dem Hause meines Urenkels.
Ik heff en dröög Slunk.,Ich habe eine trockene Kehle.
Maak to!,Beeil dich!
Maak to!,Mach hin!
Maak to!,Mach zu!
"Weetst du, woneem he leevt?","Weißt du, wo er lebt?"
Se hett em en Naricht tostüürt.,Sie hat ihm eine Nachricht gesandt.
Ik bün dor jüst bi en Book to schrieven.,Ich bin gerade dabei ein Buch zu schreiben.
Ik heff Water in ’n Ammel gaten.,Ich goss Wasser in den Eimer.
Ji seht liek ut.,Ihr seht gleich aus.
He is duun un en beten anschaten.,Er ist betrunken und etwas angeheitert.
"Se will dat, aver bruukt dat nich.","Sie will es, aber braucht es nicht."
De Ogen sünd grötter as de Mund.,Die Augen sind größer als der Mund.
Dat Middageten steiht op ’n Disch.,Das Mittagessen steht auf dem Tisch.
Se drinkt Tee in ’e Stuuv.,Sie trinken Tee im Wohnzimmer.
Se hett dat Book nich leest.,Sie hat das Buch nicht gelesen.
Wi hebbt dat Leven na uns egen Bild schapen.,Wir haben das Leben nach unserem eigenen Abbild erschaffen.
"In Singapur musst du en Bröök betahlen, wenn du Affall op de Straat smittst.","In Singapur musst du eine Geldstrafe bezahlen, wenn du Abfall auf die Straße wirfst."
Ik warr tokamen Johr söventeihn.,Ich werde nächstes Jahr siebzehn.
Is dat echt?,Ist das echt?
Ik bün Student.,Ich bin Student.
Ik leet de Katt in miene Kamer.,Ich ließ die Katze in mein Zimmer.
Dat weer an ’n eersten Mai.,Das war an einem ersten Mai.
Dat is mien Fots.,Das ist meine Muschi.
Wi sünd vörgen Sommer op ’n Fuji stegen.,Wir sind vorigen Sommer auf den Fuji gestiegen.
"Wenn dien Tähn kellt, denn schusst du na ’n Tähndokter gahn.","Wenn dein Zahn wehtut, solltest du zum Zahnarzt gehen."
He schüffelt sik sien egen Graff.,Er schaufelt sich sein eigenes Grab.
Inge hett en dicken Pöter.,Inge hat einen dicken Hintern.
Disse Pohl is dree Meter deep.,Dieser Teich ist drei Meter tief.
Dat Slott is op de anner Sied von ’n Stroom.,Das Schloss ist auf der anderen Seite des Flusses.
Uns Volk döst na Unafhängigkeit.,Unser Volk dürstet nach Unabhängigkeit.
Füll Water in de Blomenvaas.,Füll Wasser in die Blumenvase.
"Du kannst mien Schrievmaschien bruken, wenn du wullt.","Du kannst meine Schreibmaschine benutzen, wenn du möchtest."
Wo laat is dat nu in London?,Wie spät ist es jetzt in London?
Melk warrt licht suur.,Milch wird leicht sauer.
De Fisch fangt dat rüken bi ’n Kopp an.,Der Fisch stinkt zuerst am Kopf.
He snackt würklich good.,Er spricht wirklich gut.
Hör op dien Hart!,Höre auf dein Herz!
Wat hett Tom mit de Saak to doon?,Was hat Tom mit der Sache zu tun?
He wull partu en anner Speel spelen.,"Er beharrte darauf, ein anderes Spiel zu spielen."
Tom bunn sik den Pullover üm’e Talje.,Tom band sich den Pullover um die Taille.
De Zitronen sünd suur.,Die Zitronen sind sauer.
Di will ik ook noch kriegen.,Dich werde ich auch noch bekommen.
Ik wies di en poor Biller.,Ich zeige dir mal ein paar Bilder.
Wannehr is düsse Boom plant worrn?,Wann wurde dieser Baum gepflanzt?
Wokeen kann för Malheur?,Kann jemand etwas für das Pech?
Ik deed di so geern sehn.,Ich würde dich so gerne sehen.
Roop mi nich so laat an ’n Avend an.,Ruft mich nicht so spät am Abend an.
Disse School hett 1650 apen maakt.,Diese Schule wurde 1650 eröffnet.
He is en Sturrkopp.,Er ist ein Dickschädel.
"Wenn de Keks nich so dull verbrennt wesen weren, harrn villicht en poor Lüüd jem eten.","Wenn die Kekse nicht gar so verbrannt gewesen wären, hätten sie vielleicht ein paar Leute gegessen."
He hett mien Kusine freet.,Er hat meine Cousine geheiratet.
Laat de Kinner nich op de Straat spelen.,Lasse die Kinder nicht auf der Straße spielen.
Woans kann ik em looswarrn?,Wie kann ich ihn loswerden?
"Disse Tafel is nich swart, man gröön.","Diese Tafel ist nicht schwarz, sondern grün."
He deed sien Speelkraam ünner dat Bedd versteken.,Er versteckte seine Spielsachen unter dem Bett.
"Ik kann di en beten Geld lehnen, wenn du dat bruukst.","Ich kann dir etwas Geld leihen, wenn du es brauchst."
Se hebbt ehr den Kopp raseert.,Man rasierte ihr den Kopf.
Dat will ik nich weten.,Das will ich nicht wissen.
He füng dat Singen an.,Er fing an zu singen.
Se hett en Bloom in ’e Hand.,Sie hat eine Blume in der Hand.
Dat is allens witt.,Es ist alles weiß.
De Bläder von ’n Eukalyptus sünd dünn un lang.,Die Blätter des Eukalyptus sind dünn und lang.
De Präsident von de USA is jüst in Japan.,Der Präsident der USA ist gerade in Japan.
Peerschen smeckt sööt.,Pfirsiche schmecken süß.
Wo hest du op henwiest?,Worauf hast du hingewiesen?
De Summ von de Winkels von en Dreeeck is 180 Graad.,Die Summe der Winkel eines Dreiecks ist 180 Grad.
Kann ik den Koken eten?,Kann ich den Kuchen essen?
Ik will di dat Book geven.,Ich werde dir ein Buch geben.
"He hett mi to dat maakt, wat ik bün.","Er hat mich zu dem gemacht, was ich bin."
Ik heff em 5 Dollar betahlt.,Ich bezahlte ihm 5 Dollar.
Ik heff em 5 Dollar betahlt.,Ich zahlte ihm fünf Dollar.
Ik gah nu in ’n Park.,Ich gehe jetzt in den Park.
De eerste Fleger flöög 1903 twölv Sekunnen.,Das erste Flugzeug flog 1903 zwölf Sekunden lang.
"Taro, dat Eten is trech.","Tarō, das Essen ist fertig."
"Dat is fein Weder, nech?","Es ist schönes Wetter, nicht wahr?"
Wi hebbt twee Johr lang Chineesch lehrt.,Wir haben zwei Jahre lang Chinesisch gelernt.
Wasch dien Fööt.,Wasche deine Füße.
Wasch dien Fööt.,Wasch deine Füße.
In ’n Winter barst uns Lippen.,Im Winter springen uns die Lippen auf.
Ik kann di nich mehr vertellen. Ik heff al toveel seggt.,Ich kann dir nicht mehr erzählen. Ich habe schon zu viel gesagt.
Ik speel lever Tennis as Baseball.,Ich spiele lieber Tennis als Baseball.
Ik leev in de Verenigten Staten.,Ich lebe in den Vereinigten Staaten.
"Wat schehn is, is schehn.","Was geschehen ist, ist geschehen."
Mi steiht dat Water bet an ’n Hals.,Mir steht das Wasser bis zum Hals.
Woneem wahnt dien Opa?,Wo wohnt dein Opa?
Spaansch is ehr Moderspraak.,Spanisch ist ihre Muttersprache.
"Ik weet noch nich, wat ik na Japan flegen schall oder nich.","Ich bin unentschlossen, ob ich nach Japan fliegen soll oder nicht."
"Ik dä mi wunnern, wenn Tom un Ria heiroden dæn.","Es würde mich überraschen, wenn Tom und Maria heirateten."
Se schöölt sik dor an wennen.,Sie werden sich daran gewöhnen.
Dat warrt jeden Dag jümmer köller.,Es wird Tag für Tag immer kälter.
Du hest dat överdreven.,Da hast du übertrieben.
Du hest dat överdreven.,Das hast du übertrieben.
Du hest dat överdreven.,Da hast du des Guten zu viel getan.
Ik heff ehr op ’n eersten Blick kennt.,Ich erkannte sie auf den ersten Blick.
"Dat is goor nich roor, länger as negentig Johr to leven.","Es ist überhaupt nicht selten, länger als neunzig Jahre zu leben."
Noch is de Sommer nich toenn!,Noch ist der Sommer nicht zu Ende!
Woveel Lüdd sünd op dat Schipp?,Wie viele Menschen sind an Bord des Schiffs?
"He weent jümmer, wenn he duun is.","Er weint immer, wenn er betrunken ist."
Wannehr fröhstückt ji?,Wann frühstückt ihr?
Dat deed von Dag to Dag köller warrn.,Es wurde von Tag zu Tag kälter.
Wo lang kennst du Jack al?,Wie lange kennst du schon Jack?
Sien lütte Süster is fickbor.,Seine kleine Schwester ist fickbar.
’Keen sien Dochter is Julia?,Wessen Tochter ist Julia?
"Ik kaam, wenn dat nödig is.","Ich werde kommen, falls nötig."
De Snieder deed de Stoffstücken mit Nadeln tohoopsteken.,Der Schneider steckte die Stoffstücke mit Nadeln zusammen.
De Winter is vörbi und dat Vörjohr is dor.,"Der Winter ist vorbei, und der Frühling ist gekommen."
Wi bruukt en Verdrag.,Wir brauchen einen Vertrag.
De Premierminister füll in de Donau un versööp.,Der Premierminister fiel in die Donau und ertrank.
Wi möögt uns Navers nich un se möögt uns ook nich.,Wir mögen unsere Nachbarn nicht und sie mögen uns auch nicht.
Se hett mi lang töven laten.,Sie hat mich lange warten lassen.
He hett sik sien Tung mit ’n hitten Tee verbrennt.,Er hat sich an dem heißen Tee die Zunge verbrüht.
Ehr Fööt sünd smuddelig.,Ihre Füße sind schmutzig.
Se slöpen in ’ne Schüün.,Sie schliefen in einer Scheune.
Worüm heet opmaal all Lüüd Tom?,Wieso heißen plötzlich alle Tom?
Ik drink elk Dag en Schaal Melk.,Ich trinke täglich eine Schale Milch.
De Amazonas is en Stroom.,Der Amazonas ist ein Strom.
De Amazonas is en Stroom.,Der Amazonas ist ein Fluss.
"Wi wüllt in Tokyo wesen, ehr dat düüster warrt.","Wir wollen in Tokio sein, bevor es dunkel wird."
Ji sünd all to gau.,Ihr seid alle zu schnell.
De Disch is gröön.,Der Tisch ist grün.
Wat för Länner hest du besöcht?,Welche Länder hast du besucht?
De Ünnereerdschen sünd gode Smeedlüüd.,Die Zwerge sind gute Schmiede.
De Maand Feberwoor hett man 28 Daag.,Der Monat Februar hat nur 28 Tage.
De Grött von dat Universum is unvörstellbor.,Die Größe des Universums ist unvorstellbar.
In de USA warr ik faken för en Chinesen hollen.,In den USA werde ich oft für einen Chinesen gehalten.
Kann ik dat Finster apenmaken?,Kann ich das Fenster öffnen?
He seet blangen mi.,Er saß neben mir.
Lehr!,Lerne!
Köönt wi en Gavel hebben?,Könnten wir eine Gabel haben?
Tom is de Fründ vun mien Söhn.,Tom ist der Freund meines Sohnes.
He wull mi nich de Hand schüdden.,Er wollte mir nicht die Hand schütteln.
Weent de Heven?,Weint der Himmel?
"Dat Passwoord is ""Muiriel"".","Das Passwort ist ""Muiriel""."
He hett sik den Snappen in ’n Mau smeert.,Er hat sich den Rotz an den Ärmel geschmiert.
"Ik heff dacht, du wöörst to Huus un lihrst.","Ich dachte, du wärest zu Hause am Lernen."
Ik deed geern üm de Welt seilen.,Ich würde gerne um die Welt segeln.
Dat water is miegewarm.,Das Wasser ist lauwarm.
De See levert Water för dat Dörp.,Der See liefert Wasser für das Dorf.
Wat is dat dor?,Was ist das da?
"Toeerst harr ik Malesch, de Lüüd to verstahn, de to gau snackt hebbt.","Anfangs hatte ich Schwierigkeiten, Leute zu verstehen, die zu schnell sprachen."
Hest du düssen Satz sülvst schreven?,Hast du diesen Satz selbst geschrieben?
"Ik bün mi dösig vörkomen, as ik verseukt heff, Tom bi sien Huusopgaven to helpen.","Ich kam mir dumm vor, als ich versuchte, Tom bei seinen Hausaufgaben zu helfen."
Veel Lüüd sünd na Amerika utwannert.,Zahlreiche Menschen wanderten nach Amerika aus.
De Klocken von de Kark lüüdt.,Die Kirchenglocken läuten.
Hest du em in ’e Universität drapen?,Hast du ihn in der Universität getroffen?
Schiet!,Scheiße!
Schiet!,Mist!
Ik eet jüst en Appel.,Ich esse gerade einen Apfel.
Süst du de Klock nich?,Siehst du die Uhr nicht?
Tom bedüdt mi nix.,Tom bedeutet mir nichts.
He is ut Mangel an Suurstoff doodbleven.,Er starb aus Mangel an Sauerstoff.
De Laden is dat ganze Johr lang apen.,Der Laden ist das ganze Jahr lang geöffnet.
Hebbt ji düssen Satz sülvst schreven?,Haben Sie diesen Satz selbst geschrieben?
Ik heff keen Geld in ’e Tasch.,Ich habe kein Geld in der Tasche.
Disse Schoh sünd to lütt.,Diese Schuhe sind zu klein.
De Storm hett en Boom ümsmeten.,Der Sturm hat einen Baum umgehauen.
Tom wöör meud.,Tom war müde.
Dat Kind hett ’n Besöker en Bloom anbaden.,Das Kind bot dem Besucher eine Blume an.
De Tall sichtbore Steerns is temlich groot.,Die Anzahl der sichtbaren Sterne ist sehr groß.
Dat geiht eerst halvig negen loos.,Es fängt erst um 20:30 Uhr an.
Uns School hett dree Amerikaners as Uttuuschschölers opnahmen.,Unsere Schule hat drei Amerikaner als Austauschschüler aufgenommen.
Se güngen Arm in Arm de Straat langs.,Sie gingen Arm in Arm die Straße entlang.
"Hier is dat Book, na dat du söchst.","Hier ist das Buch, nach dem du suchst."
Wi hebbt jümmer noog to doon.,Wir haben immer genug zu tun.
Von ’keen sünd disse Biller?,Von wem sind diese Bilder?
He harr en witte Katt.,Er hatte eine weiße Katze.
Ik will na Huus.,Ich will nach Hause.
"Wat geiht di dat an, wat anner Lüüd in jemehr Freetied maakt?","Was geht es dich an, was andere in ihrer Freizeit tun?"
In ’n Feberwoor slacht wi dat fette Swien.,Im Februar schlachten wir das fette Schwein.
"De Hoot passt di nich good, de is to lütt.","Der Hut passt dir nicht gut, er ist zu klein."
Wat hebbt ji mit miene Büx maakt?,Was habt ihr mit meiner Hose gemacht?
He liggt op de Bank.,Er liegt auf der Bank.
Wi sünd an ’e Reeg mit Lachen.,Wir sind dran mit Lachen.
"Se kunn em nich övertügen, en Reed to hollen.","Sie konnte ihn nicht überzeugen, eine Rede zu halten."
Ik heff ehr Cathy nöömt.,Ich nannte sie Cathy.
An brune Koken un Klaven höört Kommuum.,In braune Kuchen und Stollen gehört Kardamom.
"He is gahn un ik weet nich worüm un ook nich, wat he noch wedderkummt.","Er ist gegangen und ich weiß weder, warum, noch, ob er zurückkommen wird."
Dorup kann ick nich mit di tostimmen.,Hier kann ich dir nicht zustimmen.
Ik wull ehr geern kennenlehren.,Ich würde sie gerne kennenlernen.
"De Schoolmeester deed uns wohrschauen, dat de Test swoor warrn schull.","Der Lehrer warnte uns, dass der Test schwer werden würde."
Vörig Johr harr he lang Hoor.,Voriges Jahr hatte er lange Haare.
Du süst krank ut.,Du siehst krank aus.
"He will, dat du hier bliffst.","Er will, dass du hier bleibst."
Ik bün na London afreist.,Ich bin nach London abgereist.
Ik gah kuum in Bökereen.,Ich gehe selten in Büchereien.
En Android is en Soort Roboter.,Ein Android ist eine Art Roboter.
En Android is en Soort Roboter.,Ein Kunstmensch ist eine Art Roboter.
Ik bün keen goden Satz-Utdenker.,Ich bin kein guter Satz-Ausdenker.
Tom hett Steen na dien Hund smäten.,Tom hat Steine nach deinem Hund geworfen.
Ik heff twee Böker.,Ich habe zwei Bücher.
’keen sien Fründ büst du?,Wessen Freund bist du?
’keen sien Fründ büst du?,Wes Freund bist du?
Dat weer so sien Snack.,Das war so seine Redensart.
In ’n Köhlschapp is Kraanbeernsaft.,Im Kühlschrank ist Moosbeerensaft.
Ööl un Water mengt sik nich.,Öl und Wasser mischen sich nicht.
He gefüll ehr von Anfang an.,Er gefiel ihr von Anfang an.
Mudder is jüst inköpen gahn.,Mutter ist gerade Einkaufen gegangen.
De Reinmakerfroo deed dat Gespreek ünnerbreken.,Die Putzfrau unterbrach das Gespräch.
Ik will miene Saken afhalen.,Ich möchte meine Sachen abholen.
In ’t Café kriggt een Kaffe.,Im Café bekommt man Kaffee.
Se hebbt al freet.,Sie haben schon geheiratet.
Ehr Söhn is vergangen Johr doodbleven.,Ihr Sohn starb vergangenes Jahr.
Se is en Fründin von mi.,Sie ist eine Freundin von mir.
Wi sünd buten Gefohr.,Wir sind außer Gefahr.
Se mag korte Röck.,Sie mag kurze Röcke.
Du büst en boren Dichter.,Du bist ein geborener Dichter.
Wat seggst du?,Was sagst du?
He deed mi op ’n Vörkopp küssen.,Er küsste mich auf die Stirn.
He hett ehr mit slaten Ogen küsst.,Er küsste sie mit geschlossenen Augen.
Ik weet dat.,Ich weiß das.
"Wi verkööpt Tellers ut Metall, ut Poppeer un ut Holt.","Wir verkaufen Teller aus Metall, aus Papier und aus Holz."
Dat Licht geiht nich.,Das Licht funktioniert nicht.
Ik bruuk nu nix.,Ich brauche jetzt nichts.
Rieke un arme Lüüd hebbt en annere Sicht op Saken.,Reiche und arme Menschen haben eine andere Sichtweise.
Ehr Idee is beter as dien.,Ihre Idee ist besser als deine.
Kann ik wat doon?,Kann ich irgendetwas tun?
Dor steckt mehr achter.,Da steckt mehr dahinter.
Tom schenk Ria Blomen.,Tom schenkte Maria Blumen.
Dat schusst du beter nich doon!,Das solltest du besser nicht tun!
Ik drink nienich Tee mit Zitroon.,Ich trinke niemals Tee mit Zitrone.
Twee plus twee is veer.,Zwei plus zwei ist vier.
Ik heff en Droom.,Ich habe einen Traum.
Astronomie hannelt von Steerns un Planeten.,Astronomie handelt von Sternen und Planeten.
"Vergeet nich, mi to schrieven!","Vergiss nicht, mir zu schreiben!"
Disse Hoot köst üm un bi 50 Dollar.,Dieser Hut kostet um die 50 Dollar.
Wi sünd Tom sien Söhns.,Wir sind Toms Söhne.
All in ’t Dörp kennen em.,Alle im Dorf kannten ihn.
De Sood is dröögfullen.,Der Brunnen ist trockengefallen.
De Autodöör geiht nich önnig to.,Die Autotüre geht nicht richtig zu.
He harr en good Alibi.,Er hatte ein starkes Alibi.
"Frünn winnt een nich mit wohre, man mit bikamern Wöör.","Freunde gewinnt man nicht mit wahren, sondern mit schmeichelnden Worten."
Se deed gau snacken.,Sie sprach schnell.
Is dat ut Frankriek?,Ist das aus Frankreich?
Mien Papa is jüst nich tohuus.,Mein Papa ist gerade nicht zu Hause.
"Wi hebbt en Dochter, de mit en Franzoos verheiraadt is.","Wir haben eine Tochter, die mit einem Franzosen verheiratet ist."
Den eersten Pries hett Janet wunnen.,Den ersten Preis gewann Janet.
Sien Stemm höört sik na puren Sex an.,Seine Stimme klingt wie reiner Sex.
Büst du vör oder gegen uns Plaan?,Bist du für oder gegen unseren Plan?
Ik heff jüst dit Book leest.,Ich habe gerade dieses Buch gelesen.
In ’n Ünnerscheed to Eerdbeern smeckt Ananas ook ut de Doos.,Im Unterschied zu Erdbeeren schmeckt Ananas auch aus der Dose.
Ik verstah dor nich veel von.,Ich verstehe nicht viel davon.
Bill is mien besten Fründ.,Bill ist mein bester Freund.
De Eer dreiht sik in 365 Daag üm de Sünn.,Die Erde umrundet die Sonne in 365 Tagen.
Poppeer warrt von Holt maakt.,Papier wird aus Holz hergestellt.
Ik bün wichtig.,Ich bin wichtig.
De Sommerfeern sünd vörbi.,Die Sommerferien sind vorbei.
Ik nehm mi en poor Daag free.,Ich nehme mir ein paar Tage frei.
Ik nehm mi en poor Daag free.,Ich nehme mir einige Tage frei.
De Eer besteiht ut See un Land.,Die Erde besteht aus Meer und Land.
"Dat regent, aver se hett keen Mantel an.","Es regnet, aber sie trägt keinen Mantel."
Mien Rügg deit jümmer noch weh.,Mein Rücken schmerzt immer noch.
De Buur deed in ’n April Mest seihn.,Der Bauer breitet im April den Mist aus.
